0,1,2
64.47,0.0,
93.9,0.0,88.0
53.74,0.0,23.33
88.03,0.0,72.0
90.09,,91.62
78.54,0.0,91.5
86.62,0.0,
96.58,,87.2
95.77,0.0,
68.53,0.0,
96.68,96.25,
88.47,0.0,
86.22,0.0,90.0
82.55,0.0,92.33
93.89,,99.0
90.48,92.0,
73.57,0.0,
92.87,,93.5
64.03,0.0,
94.81,98.0,
75.81,0.0,
92.31,0.0,90.67
90.94,0.0,
66.96,0.0,
90.72,0.0,
92.2,36.0,
71.05,0.0,35.0
87.89,0.0,96.25
87.18,0.0,92.5
95.6,0.0,97.5
96.57,,95.25
95.56,0.0,93.5
58.68,0.0,
97.47,0.0,96.33
93.95,0.0,92.0
94.37,0.0,92.33
94.68,0.0,
92.18,0.0,
91.67,0.0,
67.58,0.0,71.0
95.82,0.0,
93.75,0.0,96.73
92.57,0.0,
78.87,0.0,
98.14,0.0,97.5
91.07,0.0,
82.1,0.0,59.0
69.39,0.0,61.33
84.04,0.0,
95.32,0.0,
96.72,0.0,
62.65,0.0,75.0
93.6,0.0,
95.39,0.0,98.0
79.26,0.0,
84.63,0.0,
93.8,0.0,
96.99,98.0,
92.25,,90.5
42.37,,51.08
93.53,0.0,58.5
94.51,0.0,
88.86,0.0,91.5
99.15,50.0,
79.61,0.0,88.5
77.18,0.0,76.0
93.48,,95.33
84.49,0.0,
96.34,0.0,
96.87,0.0,
93.79,0.0,97.0
95.67,96.0,
96.82,0.0,90.0
89.55,38.5,
84.32,0.0,
93.73,0.0,
95.21,0.0,
96.68,0.0,98.5
96.27,0.0,95.4
75.45,0.0,
90.93,0.0,74.33
90.52,,
85.1,0.0,
86.7,0.0,93.5
82.43,0.0,81.0
93.05,0.0,
38.95,0.0,31.0
94.64,,95.0
97.61,0.0,98.0
86.81,61.0,
94.88,0.0,
88.17,0.0,82.75
89.64,0.0,
91.4,0.0,
66.62,,54.14
97.11,0.0,95.5
,0.0,
78.59,40.5,
97.48,0.0,
94.74,0.0,
83.83,43.0,
13.38,0.0,0.0
74.51,,64.2
59.57,0.0,42.67
92.2,,96.54
92.95,0.0,
86.27,66.0,
43.58,0.0,
90.31,0.0,
96.92,0.0,97.67
93.53,0.0,
95.9,,96.77
83.27,46.0,
88.16,0.0,
88.69,0.0,
91.03,,90.08
84.45,0.0,
98.02,0.0,97.25
94.89,0.0,78.5
93.71,0.0,
93.67,0.0,
95.5,0.0,86.75
93.66,0.0,
96.65,0.0,93.5
83.36,,78.91
94.1,0.0,
81.76,0.0,
89.28,0.0,77.0
78.78,0.0,75.0
92.93,0.0,
93.62,0.0,79.5
82.52,88.0,
94.55,96.5,
96.28,96.33,
98.54,0.0,
87.91,0.0,
91.44,100.0,
95.4,0.0,93.0
93.62,0.0,
91.31,0.0,
57.82,0.0,58.5
88.56,0.0,68.0
94.99,0.0,
94.51,0.0,85.0
67.79,0.0,54.33
92.53,0.0,
95.3,0.0,96.67
92.8,0.0,94.0
92.4,0.0,
91.83,0.0,90.33
92.8,0.0,97.0
87.66,0.0,80.91
91.17,0.0,
97.99,0.0,97.0
92.25,0.0,96.5
97.51,0.0,
